recording_id,event_id,channel,audio_path,label,class_id,split
0001_0850s_shot_015_ch1,0001_0850s_shot_015,1,../../BEC/new-dataset/export/0001_0850s_shot_015/gunshot_unknown_15_ch1.wav,dana_artillery,1,train
0001_0850s_shot_015_ch2,0001_0850s_shot_015,2,../../BEC/new-dataset/export/0001_0850s_shot_015/gunshot_unknown_15_ch2.wav,dana_artillery,1,train
0001_0850s_shot_015_ch3,0001_0850s_shot_015,3,../../BEC/new-dataset/export/0001_0850s_shot_015/gunshot_unknown_15_ch3.wav,dana_artillery,1,train
0001_0850s_shot_015_ch4,0001_0850s_shot_015,4,../../BEC/new-dataset/export/0001_0850s_shot_015/gunshot_unknown_15_ch4.wav,dana_artillery,1,train
0002_0724s_shot_004_ch1,0002_0724s_shot_004,1,../../BEC/new-dataset/export/0002_0724s_shot_004/gunshot_unknown_4_ch1.wav,dana_artillery,1,train
0002_0724s_shot_004_ch2,0002_0724s_shot_004,2,../../BEC/new-dataset/export/0002_0724s_shot_004/gunshot_unknown_4_ch2.wav,dana_artillery,1,train
0002_0724s_shot_004_ch3,0002_0724s_shot_004,3,../../BEC/new-dataset/export/0002_0724s_shot_004/gunshot_unknown_4_ch3.wav,dana_artillery,1,train
0002_0724s_shot_004_ch4,0002_0724s_shot_004,4,../../BEC/new-dataset/export/0002_0724s_shot_004/gunshot_unknown_4_ch4.wav,dana_artillery,1,train
0002_0726s_shot_006_ch1,0002_0726s_shot_006,1,../../BEC/new-dataset/export/0002_0726s_shot_006/gunshot_unknown_6_ch1.wav,dana_artillery,1,train
0002_0726s_shot_006_ch2,0002_0726s_shot_006,2,../../BEC/new-dataset/export/0002_0726s_shot_006/gunshot_unknown_6_ch2.wav,dana_artillery,1,train
0002_0726s_shot_006_ch3,0002_0726s_shot_006,3,../../BEC/new-dataset/export/0002_0726s_shot_006/gunshot_unknown_6_ch3.wav,dana_artillery,1,train
0002_0726s_shot_006_ch4,0002_0726s_shot_006,4,../../BEC/new-dataset/export/0002_0726s_shot_006/gunshot_unknown_6_ch4.wav,dana_artillery,1,train
