mode,snr_db,accuracy,precision,recall,f1,mcc,samples
PC float32,clean,1.0,1.0,1.0,1.0,1.0,168
PC int8,clean,1.0,1.0,1.0,1.0,1.0,168
PC float32,30 dB,1.0,1.0,1.0,1.0,1.0,168
PC int8,30 dB,0.9880952380952381,0.8333333333333334,1.0,0.9090909090909091,0.9070748646757787,168
PC float32,20 dB,1.0,1.0,1.0,1.0,1.0,168
PC int8,20 dB,0.9761904761904762,0.7142857142857143,1.0,0.8333333333333334,0.8343875188697213,168
PC float32,10 dB,0.9940476190476191,1.0,0.9,0.9473684210526315,0.9456953117370888,168
PC int8,10 dB,0.9702380952380952,0.6666666666666666,1.0,0.8,0.8034734720282709,168
PC float32,5 dB,0.9880952380952381,1.0,0.8,0.8888888888888888,0.8888194417315589,168
PC int8,5 dB,0.9761904761904762,0.75,0.9,0.8181818181818182,0.8093898792491564,168
