mode,snr_db,accuracy,precision,recall,f1,mcc,samples
PC float32,clean,1.0,1.0,1.0,1.0,1.0,168
PC int8,clean,1.0,1.0,1.0,1.0,1.0,168
PC float32,30 dB,1.0,1.0,1.0,1.0,1.0,168
PC int8,30 dB,0.9821428571428571,0.7692307692307693,1.0,0.8695652173913043,0.8686916148517432,168
PC float32,20 dB,1.0,1.0,1.0,1.0,1.0,168
PC int8,20 dB,0.9761904761904762,0.7142857142857143,1.0,0.8333333333333334,0.8343875188697213,168
PC float32,10 dB,1.0,1.0,1.0,1.0,1.0,168
PC int8,10 dB,0.9642857142857143,0.625,1.0,0.7692307692307693,0.7754133238375583,168
PC float32,5 dB,0.9940476190476191,1.0,0.9,0.9473684210526315,0.9456953117370888,168
PC int8,5 dB,0.9940476190476191,0.9090909090909091,1.0,0.9523809523809523,0.9504405132147693,168
