mode,snr_db,accuracy,precision,recall,f1,mcc,samples
PC float32,clean,1.0,1.0,1.0,1.0,1.0,168
PC int8,clean,0.9880952380952381,0.8333333333333334,1.0,0.9090909090909091,0.9070748646757787,168
PC float32,30 dB,1.0,1.0,1.0,1.0,1.0,168
PC int8,30 dB,0.9821428571428571,0.7692307692307693,1.0,0.8695652173913043,0.8686916148517432,168
PC float32,20 dB,0.9583333333333334,0.6363636363636364,0.7,0.6666666666666666,0.6453309471891363,168
PC int8,20 dB,0.9047619047619048,0.36363636363636365,0.8,0.5,0.4989419263366419,168
PC float32,10 dB,0.8809523809523809,0.08333333333333333,0.1,0.09090909090909091,0.027909995836177807,168
PC int8,10 dB,0.8571428571428571,0.0625,0.1,0.07692307692307693,0.004081122757039781,168
PC float32,5 dB,0.9226190476190477,0.2,0.1,0.13333333333333333,0.1039859489555282,168
PC int8,5 dB,0.9047619047619048,0.125,0.1,0.1111111111111111,0.061879834550931316,168
