mode,snr_db,accuracy,precision,recall,f1,mcc,samples
PC float32,clean,1.0,1.0,1.0,1.0,1.0,168
PC int8,clean,0.9880952380952381,0.8333333333333334,1.0,0.9090909090909091,0.9070748646757787,168
PC float32,30 dB,1.0,1.0,1.0,1.0,1.0,168
PC int8,30 dB,0.9880952380952381,0.8333333333333334,1.0,0.9090909090909091,0.9070748646757787,168
PC float32,20 dB,0.9702380952380952,0.7272727272727273,0.8,0.7619047619047619,0.7470341358643473,168
PC int8,20 dB,0.9285714285714286,0.4444444444444444,0.8,0.5714285714285714,0.563563106960903,168
PC float32,10 dB,0.8869047619047619,0.09090909090909091,0.1,0.09523809523809523,0.035111815137870456,168
PC int8,10 dB,0.8571428571428571,0.0625,0.1,0.07692307692307693,0.004081122757039781,168
PC float32,5 dB,0.9285714285714286,0.25,0.1,0.14285714285714285,0.1257272760656859,168
PC int8,5 dB,0.8988095238095238,0.1111111111111111,0.1,0.10526315789473684,0.05187358250034664,168
