mode,snr_db,accuracy,precision,recall,f1,mcc,samples
PC float32,clean,1.0,1.0,1.0,1.0,1.0,168
PC int8,clean,0.9880952380952381,0.8333333333333334,1.0,0.9090909090909091,0.9070748646757787,168
PC float32,30 dB,1.0,1.0,1.0,1.0,1.0,168
PC int8,30 dB,0.9761904761904762,0.7142857142857143,1.0,0.8333333333333334,0.8343875188697213,168
PC float32,20 dB,0.9523809523809523,0.5833333333333334,0.7,0.6363636363636364,0.6140199083959118,168
PC int8,20 dB,0.9285714285714286,0.4444444444444444,0.8,0.5714285714285714,0.563563106960903,168
PC float32,10 dB,0.8809523809523809,0.08333333333333333,0.1,0.09090909090909091,0.027909995836177807,168
PC int8,10 dB,0.8630952380952381,0.06666666666666667,0.1,0.08,0.00945262908268554,168
PC float32,5 dB,0.9166666666666666,0.16666666666666666,0.1,0.125,0.08714893406611901,168
PC int8,5 dB,0.8928571428571429,0.1,0.1,0.1,0.043037974683544304,168
