mode,snr_db,accuracy,precision,recall,f1,mcc,samples
PC float32,clean,1.0,1.0,1.0,1.0,1.0,168
PC int8,clean,0.9880952380952381,0.8333333333333334,1.0,0.9090909090909091,0.9070748646757787,168
PC float32,30 dB,1.0,1.0,1.0,1.0,1.0,168
PC int8,30 dB,0.9821428571428571,0.7692307692307693,1.0,0.8695652173913043,0.8686916148517432,168
PC float32,20 dB,0.9404761904761905,0.5,0.7,0.5833333333333334,0.5613152399669035,168
PC int8,20 dB,0.9047619047619048,0.36363636363636365,0.8,0.5,0.4989419263366419,168
PC float32,10 dB,0.8928571428571429,0.1,0.1,0.1,0.043037974683544304,168
PC int8,10 dB,0.875,0.07692307692307693,0.1,0.08695652173913043,0.02129695571894596,168
PC float32,5 dB,0.9285714285714286,0.25,0.1,0.14285714285714285,0.1257272760656859,168
PC int8,5 dB,0.8988095238095238,0.1111111111111111,0.1,0.10526315789473684,0.05187358250034664,168
