mode,snr_db,accuracy,precision,recall,f1,mcc,samples
PC float32,clean,1.0,1.0,1.0,1.0,1.0,168
PC int8,clean,0.9880952380952381,0.8333333333333334,1.0,0.9090909090909091,0.9070748646757787,168
PC float32,30 dB,1.0,1.0,1.0,1.0,1.0,168
PC int8,30 dB,0.9940476190476191,0.9090909090909091,1.0,0.9523809523809523,0.9504405132147693,168
PC float32,20 dB,0.9642857142857143,0.7,0.7,0.7,0.6810126582278481,168
PC int8,20 dB,0.9166666666666666,0.4,0.8,0.5333333333333333,0.5289950710094006,168
PC float32,10 dB,0.8988095238095238,0.1111111111111111,0.1,0.10526315789473684,0.05187358250034664,168
PC int8,10 dB,0.875,0.07692307692307693,0.1,0.08695652173913043,0.02129695571894596,168
PC float32,5 dB,0.9166666666666666,0.16666666666666666,0.1,0.125,0.08714893406611901,168
PC int8,5 dB,0.8928571428571429,0.1,0.1,0.1,0.043037974683544304,168
